IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2a06:98c1:3104:75b9:4165:4807:2b2c:6cbe,197,235,212,60
2606:4700:13a:764a:8fa6:535f:3f22:6646,205,218,213,60
2606:4700:137:698b:992b:c1f9:eaa6:57dc,196,243,213,60
2606:4700:4405:f4f2:c4ff:114a:bca4:4710,205,237,217,60
2606:4700:56:ad03:ba6:e1eb:c178:268,200,235,217,60
2803:f800:51:2734:7bd:e3df:f5da:dc95,190,279,219,60
2a06:98c1:52:24aa:2ca2:22c0:e86a:d21c,201,260,220,60
2606:4700:135:bf7c:e2ec:4a31:77a1:80e5,204,269,223,60
2606:4700:52:6d95:6419:30ec:976a:2e7f,207,273,225,60
2606:4700:9:500:3000:a3d5:8ec1:abe9,200,274,225,60
2606:4700:310c:d024:10c1:aa86:db91:494a,200,289,226,60
2606:4700:f:d343:70ef:808f:97ce:c892,205,292,229,60
2a06:98c1:56:bcd0:773e:4209:8b66:f6e8,198,298,233,60
2606:4700:59:dbb2:ca84:fd97:52f2:93a4,202,294,237,60
2a06:98c1:3107:de1a:130d:77f2:ca42:7729,199,290,240,60
2803:f800:52:17a4:52f8:6299:24ba:558a,229,278,253,60
2606:4700:1e:87ff:a72e:eba0:a2fd:492,237,284,256,60
2606:4700:a1:b7ee:a0b0:888d:2c46:44d6,205,218,210,70
2606:4700:5:f31f:d013:7b8:46e5:91c1,198,219,210,70
2606:4700:3004:d154:c337:f3ca:cdc9:2c,200,240,215,70
2606:4700:3007:7a25:f8fb:1425:ca0d:7118,214,222,218,70
2a06:98c1:51:9cef:ff57:b2e9:9480:e386,209,243,225,70
2606:4700:54:6d38:b1fe:6a64:5579:439,200,283,232,70
2606:4700:53:9994:acd2:1406:24a4:7ab3,212,252,234,70
2606:4700:3026:f2a8:fb13:3126:89b5:9156,202,290,243,70
2606:4700:3111:c39c:2b75:6a4c:8a49:809d,234,276,256,70
2606:4700:24:5bfd:914b:a86b:31bd:1061,200,208,204,80
2606:4700:3010:3e99:c527:45bb:7bb3:f5b0,190,222,206,80
2606:4700:3002:be3f:b2df:5ae3:f1c1:f69f,194,249,222,80
2606:4700:134:a639:a6e:f2fc:ac36:9340,210,266,238,80
2606:4700:b:c1be:23e4:7ac0:3473:1f3f,206,279,243,80
2606:4700:3110:ab43:41d7:9b30:6ffe:52b1,233,270,251,80
2606:4700:1f:201c:4578:20dc:f80c:6456,219,287,253,80
2606:4700:3118:6e2b:9be0:1a1d:75e1:69ef,241,267,254,80
2606:4700:311e:a088:d439:ccec:13ba:86c1,273,287,280,80
2606:4700:17:679b:cf2e:a2af:58fe:a30,192,192,192,90
2606:4700:25:80cd:2049:6943:d81f:f5c9,193,193,193,90
2606:4700:3022:62dd:d4a5:54a2:7560:b4c0,201,201,201,90
2606:4700:3027:f0a1:7c9:66af:c805:daac,202,202,202,90
2606:4700:3019:c4bb:e42d:e8d5:9aee:63d3,203,203,203,90
2606:4700:29:64ac:79b7:5d4e:e8d2:712b,210,210,210,90
2606:4700:3020:1c3f:e88e:fdac:c6eb:5a2b,211,211,211,90
2606:4700:27:65c7:131a:512f:b957:e2bc,216,216,216,90
2606:4700:3023:8f8b:629c:d530:86ff:74a9,225,225,225,90
2606:4700:311d:c260:5f92:b968:a2ca:b3a,251,251,251,90
2606:4700:14:54a1:f3ea:3417:b45b:5dd5,258,258,258,90
2606:4700:18:a635:a6da:440:e235:f450,276,276,276,90
2606:4700:2c:dc4f:8848:2b37:8728:bc9b,293,293,293,90
